Zipcode,Population
21740,61849.0
21754,6025.0
21757,3296.0
21776,5148.0
21780,1552.0
21783,8877.0
21794,2748.0
21795,9066.0
21797,8551.0
21804,40100.0
21810,477.0
21863,4794.0
21903,6003.0
21912,1078.0
24432,290.0
24441,6541.0
24459,591.0
24467,1993.0
23696,3695.0
23707,15586.0
23821,1647.0
23827,1447.0
23830,1483.0
23833,3107.0
23850,891.0
23851,13357.0
23890,3138.0
23302,258.0
23307,480.0
23336,2919.0
23150,11500.0
23220,34862.0
23222,25456.0
23230,5982.0
23294,17866.0
23301,1431.0
23321,34524.0
23347,436.0
23409,121.0
23417,3214.0
23960,1796.0
23962,328.0
23963,110.0
23079,643.0
18629,1595.0
18630,3107.0
18661,5804.0
18707,16124.0
18829,789.0
18840,10818.0
18850,2233.0
18851,813.0
18917,2121.0
18936,0.0
18969,15824.0
18830,618.0
18833,1950.0
18914,21572.0
18091,5432.0
18066,5916.0
18069,7928.0
18074,5841.0
18103,47155.0
18214,1955.0
18230,101.0
18237,3276.0
18244,309.0
18322,2706.0
18330,7532.0
18333,281.0
18355,1319.0
18370,919.0
18405,2531.0
21610,380.0
21645,1058.0
21014,36060.0
21035,8643.0
21052,316.0
21075,30661.0
21077,352.0
21082,444.0
21093,37810.0
21108,18855.0
21158,21136.0
21202,22247.0
21207,48030.0
21222,54725.0
21225,32988.0
21918,3920.0
21071,621.0
21140,3208.0
21286,20745.0
21153,322.0
21240,0.0
21250,2676.0
21251,899.0
21252,2640.0
21409,20436.0
21652,140.0
21705,13.0
21714,201.0
21746,2656.0
21781,194.0
19538,15.0
19542,0.0
19564,137.0
19716,1040.0
19717,4417.0
19735,50.0
19936,241.0
19951,1873.0
19952,10428.0
19953,4327.0
19955,40.0
19968,9760.0
19547,4251.0
19559,337.0
19567,5123.0
19611,10668.0
19736,61.0
19808,38776.0
19901,36989.0
19944,626.0
19956,15103.0
19963,20395.0
19964,1096.0
19317,9669.0
19320,54144.0
19330,5485.0
19342,18915.0
19343,8243.0
19348,22914.0
22150,26853.0
22152,29331.0
22172,9717.0
22191,67276.0
22204,54046.0
22041,28872.0
22046,17941.0
22066,18419.0
22125,725.0
22193,82290.0
22209,12392.0
22213,3575.0
22305,17965.0
22308,13453.0
22435,2753.0
22438,169.0
22511,991.0
22027,2310.0
22151,17627.0
22401,27853.0
22482,3048.0
22504,215.0
22538,252.0
22539,2218.0
22723,54.0
22827,10056.0
22843,2194.0
22938,1568.0
22026,15584.0
22030,58759.0
83442,20898.0
94929,135.0
94065,12626.0
94066,42777.0
94086,49851.0
94304,3658.0
94110,73511.0
94112,84001.0
94132,31289.0
94511,2199.0
94513,59444.0
94533,72349.0
94061,38709.0
91945,26673.0
91377,14885.0
91403,24579.0
91411,25290.0
91506,18125.0
91752,29801.0
91754,33514.0
91763,37786.0
91765,47493.0
91709,77266.0
91731,30179.0
91733,44622.0
91737,25508.0
91741,25780.0
91745,54043.0
91768,36365.0
91780,35674.0
91792,29493.0
91917,937.0
91931,474.0
91325,33558.0
